Date,Driver,Category,Title,Impact,Note
2019-09-20,Market,Rally,Corporate tax cut 30% to 22% - HISTORIC,+5.32% +569 pts to 11274,"Biggest 1-day in 10 years, Sensex +1921"
2020-02-01,Budget,Budget,Budget 2020 Saturday - DDT abolished,-2.5%,No stimulus
2020-03-12,Market,Crash,Covid Black Thursday,"-8.3% circuit, Sensex -2919",Global panic
2020-03-23,Market,Crash Bottom,Covid Bottom Nifty 7511,-13% intraday,All time panic low
2020-03-27,RBI,RBI Rally,RBI emergency 75bps cut + moratorium,+6% recovery start,Bull run start
2020-11-09,Global,Global Rally,Pfizer vaccine 90% effective,+1% to 12500+,FII buying starts
2021-02-01,Budget,Budget Rally,Budget 2021 'like never before' CapEx +34.5%,+4.74% +646 pts to 14281,Best budget day in 22 years
2021-04-12,Market,Crash,2nd wave crash - lockdown fears,-3.5% to 14310,VIX +16%
2021-10-19,Market,ATH,Nifty lifetime high 18604 - 42 ATHs May-Oct,+24% YTD,Post-covid bull peak
2021-11-26,Global,Crash,Omicron Black Friday,-2.91% to 17026,Global de-risking
2022-02-01,Budget,Budget,"Budget 2022 CapEx focus, 5G",+1.37% to 17576,Pro-growth
2022-02-24,Global,War Crash,Russia invades Ukraine,-4.8% -815 pts,"Brent >$100, worst since 2020"
2022-05-04,RBI,RBI Crash,RBI surprise off-cycle +40bps to 4.40%,-2.29% -391 pts to 16677,Pre-empt Fed
2022-06-17,Market,Bottom,Nifty 2022 bottom 15183,War + Fed bottom,-18% from top
2022-10-31,Market,Rally,Diwali rally to 18000+,+1.5%,FII return
2023-01-24,Corporate,Crash,Hindenburg Adani report,-1.5%,Adani -50% in days
2023-03-20,Global,Global,SVB banking crisis US,-1% to 16800,US banks fear
2023-06-27,Market,Rally,Nifty crosses 19000 first time,+0.8%,Bull run
2023-12-07,Market,ATH,Nifty crosses 21000 year end,+1.2%,Year end rally
2024-02-01,Budget,Budget,Interim Budget fiscal 5.1% target,-0.13% to 21697,Consolidation
2024-06-03,Politics,Rally,Exit polls Modi 3rd term - rally,+3.25% +733 pts to 23263,Biggest pre-result rally since 2009
2024-06-04,Politics,Crash,Election result shock - slim majority,-5.93% -1379 pts to 21812,"$400bn wiped, PSU -16%"
2024-07-23,Budget,Budget Crash,Full Budget LTCG 10->12.5% STCG 15->20% STT hike,-0.12% intraday -1% to 24074,Market sour
2024-09-18,Global,Rally,US Fed 50bps cut first in 4 years,+2.1% in 3 sessions +544 pts,Risk-on
2024-09-27,Market,ATH,Nifty ATH 26277.35 - 59 ATHs record year,ATH 26277,Beating 2021 record
2024-10-01,Market,Correction,FII selling correction starts,-1% daily selling,12-16% fall starts
2025-01-31,Market,Crash,4-month losing streak worst since 2001,-1% to 23508,Worst Jan in decade
2025-02-01,Budget,Budget,Budget 2025 Saturday flat close,-0.11% to 23482,Capex disappointment
2025-02-07,RBI,RBI Rally,RBI first cut in 5 years 6.50->6.25% - Sanjay Malhotra,+0.5%,Growth support
2025-04-07,Global,Global Crash,Trump reciprocal tariffs crash,-5% gap down,Trade war fear
2026-03-10,Market,Bottom,March 2026 panic bottom 22200 - your chart low,-15% from top,Major support - your W chart
2026-06-05,RBI,RBI MPC,"RBI MPC: repo held 5.25%, GDP FY27 cut to 6.6%, infl 5.1%",,Round-trip non-event day
2026-06-12,Global,Geopolitics,US cancelled Iran strikes,,+2.03% (+470 pts) trend-up day
2026-06-17,Global,FOMC,"FOMC held 3.50-3.75% but hawkish dot-flip, easing bias stripped, DXY broke 100",,Hawkish overhang
2026-06-19,Corporate,Earnings guide,Accenture cut FY27 guide - Nifty IT -3.65%,,IT selloff day
2026-06-23,Macro,Macro data,India Flash PMI services 17-mo low + VIX +8.56%,,Trend-down day
2026-09-01,Market,Current,Current 24055 -8% YTD consolidation 23600-24800,-0.10% to 24055,Sideways per your D chart
